iter	Logloss
0	0.6310710013
1	0.5674781724
2	0.5113817249
3	0.4652065651
4	0.4159112726
5	0.3811852887
6	0.3471164375
7	0.32090001
8	0.2927652426
9	0.2737081373
10	0.2499195162
11	0.2329069472
12	0.2204160757
13	0.2105001782
14	0.2009173168
15	0.1893783171
16	0.1791802718
17	0.1685924145
18	0.1593412306
19	0.1505524654
20	0.1432892205
21	0.1370578365
22	0.1326715805
23	0.1280242789
24	0.1235991853
25	0.119865758
26	0.1167827405
27	0.1135201413
28	0.1117139998
29	0.1090172289
30	0.1068328065
31	0.1040942958
32	0.1017145766
33	0.0993292836
34	0.09663663614
35	0.09427694988
36	0.09160392927
37	0.09024593991
38	0.08892573614
39	0.08598547335
40	0.08480097998
41	0.08382574592
42	0.08183340452
43	0.08075040197
44	0.07949752428
45	0.07839679748
46	0.07747628268
47	0.07607600468
48	0.07480738601
49	0.07409589424
50	0.07310403879
51	0.07148121351
52	0.07069123758
53	0.06914513989
54	0.0684382605
55	0.06750746503
56	0.06675600116
57	0.06590732911
58	0.0651186527
59	0.06438513595
60	0.06287824948
61	0.06177681885
62	0.06110020381
63	0.06033967377
64	0.05961622789
65	0.05893077923
66	0.05804424152
67	0.05732475892
68	0.05670089638
69	0.05620577411
70	0.05578893991
71	0.05501593596
72	0.05457509408
73	0.05421514948
74	0.05357377669
75	0.05268000421
76	0.05188298329
77	0.05121310341
78	0.05060531517
79	0.04977747308
80	0.04930990593
81	0.0488523542
82	0.04838215015
83	0.04740805733
84	0.04682960149
85	0.04619816384
86	0.04575652239
87	0.04534837484
88	0.04498736451
89	0.04453581953
90	0.04409710864
91	0.04362464625
92	0.04292226921
93	0.04254237672
94	0.04216934526
95	0.04178131629
96	0.04154674004
97	0.04074164313
98	0.04033391378
99	0.03995993115
100	0.03949361955
101	0.03920368253
102	0.03889672133
103	0.03855471319
104	0.03783181093
105	0.03747495481
106	0.03714875664
107	0.0368398404
108	0.03648782541
109	0.03600175305
110	0.03567763945
111	0.03546202023
112	0.0351680616
113	0.03489491156
114	0.03464416251
115	0.03426111891
116	0.03400645542
117	0.03373157571
118	0.03328683548
119	0.03304293696
120	0.03278206258
121	0.03248940115
122	0.03199436853
123	0.03179110632
124	0.03160957498
125	0.03133967354
126	0.03099148092
127	0.03080602045
128	0.03057903074
129	0.03034402629
130	0.03012640142
131	0.02988840702
132	0.02968960516
133	0.02947368711
134	0.02915228026
135	0.0289135967
136	0.02866535561
137	0.02842740174
138	0.02824644364
139	0.02793997166
140	0.02779516542
141	0.02760600372
142	0.02740517943
143	0.02713916539
144	0.02690677186
145	0.02669691373
146	0.02649062348
147	0.02630844879
148	0.02613463743
149	0.02598997882
150	0.02587925722
151	0.02564993003
152	0.02547465577
153	0.02528171767
154	0.02507228915
155	0.02490465186
156	0.02474920173
157	0.02457119586
158	0.02445972656
159	0.02428743698
160	0.02408658047
161	0.02393657349
162	0.02379543058
163	0.02360344755
164	0.0233861873
165	0.02319837585
166	0.02300152539
167	0.0229144806
168	0.02271715512
169	0.02256544092
170	0.02242277779
171	0.02226023631
172	0.02217294931
173	0.02204001156
174	0.02189925276
175	0.02172230928
176	0.0216079814
177	0.02147651245
178	0.02136111779
179	0.0212453788
180	0.02113753255
181	0.02087320713
182	0.02074641726
183	0.0206304301
184	0.02056732892
185	0.02041246685
186	0.0203267222
187	0.02023323897
188	0.02012553953
189	0.01998987583
190	0.01992982824
191	0.01980832315
192	0.01965358252
193	0.01949266014
194	0.01937676237
195	0.01924379741
196	0.01914958179
197	0.01900851646
198	0.01893496629
199	0.01882964717
200	0.01870244663
201	0.01862471479
202	0.01853665407
203	0.01844068688
204	0.01833939799
205	0.01821568282
206	0.01811151805
207	0.0180167523
208	0.01789821142
209	0.01780401304
210	0.01768357404
211	0.0175935113
212	0.01751915073
213	0.01741572076
214	0.01731441956
215	0.01721963247
216	0.01711379391
217	0.01702525026
218	0.01692326053
219	0.0168288718
220	0.01666168093
221	0.01653392571
222	0.01639752739
223	0.01631839937
224	0.01625355083
225	0.01615092381
226	0.01605036589
227	0.01597411038
228	0.01590525338
229	0.01582952641
230	0.01573383401
231	0.01562950001
232	0.01545957203
233	0.01537264206
234	0.01526976337
235	0.01514864052
236	0.01508981535
237	0.01502141874
238	0.01494877177
239	0.01484376214
240	0.01477027972
241	0.01468702567
242	0.0146062576
243	0.01453589964
244	0.01446676108
245	0.01440579342
246	0.014342814
247	0.0142660554
248	0.0142287978
249	0.01417360429
250	0.01406192121
251	0.01399478386
252	0.01395413018
253	0.01389356871
254	0.01381954754
255	0.01372521925
256	0.01367236732
257	0.01360047058
258	0.01356522573
259	0.01347088753
260	0.01340868487
261	0.01333499576
262	0.0132656235
263	0.01319655948
264	0.01314028222
265	0.01307313152
266	0.0130168596
267	0.012953874
268	0.01288954882
269	0.01282797095
270	0.01277348502
271	0.01271542233
272	0.01265659414
273	0.01259339543
274	0.01255204984
275	0.01252192068
276	0.01247404052
277	0.01241426519
278	0.01231933634
279	0.01225313411
280	0.01219823602
281	0.01214506541
282	0.01206366897
283	0.01201648802
284	0.01195484481
285	0.01189899009
286	0.01185318568
287	0.01180396308
288	0.01176128563
289	0.01170103662
290	0.01164592651
291	0.01159506948
292	0.01153843906
293	0.01145645784
294	0.01137651439
295	0.01130692646
296	0.01125842287
297	0.01118578023
298	0.01111391581
299	0.01105142678
